trial_id,target_name,target_x,target_y,success,duration_s,role_switches,min_separation_m,robot1_path_m,robot2_path_m,requirement_refs,summary_path,launch_log
r01_t01_lab_lower_left,lab_lower_left,1.422,0.717,1,6.003,0,0.6449,0.4380,0.2412,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t01_lab_lower_left/summary_20260529_170849.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t01_lab_lower_left/launch.log
r01_t02_lab_lower,lab_lower,1.722,0.717,1,9.006,0,0.3473,0.5857,0.3623,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t02_lab_lower/summary_20260529_170902.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t02_lab_lower/launch.log
r01_t03_lab_lower_mid,lab_lower_mid,1.572,0.917,1,5.004,0,0.6690,0.3540,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t03_lab_lower_mid/summary_20260529_170919.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t03_lab_lower_mid/launch.log
r01_t04_lab_mid_left,lab_mid_left,1.522,1.117,1,4.501,0,0.6627,0.2039,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t04_lab_mid_left/summary_20260529_170932.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t04_lab_mid_left/launch.log
r01_t05_lab_mid,lab_mid,1.722,1.317,1,4.009,0,0.5209,0.2791,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t05_lab_mid/summary_20260529_170944.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r01_t05_lab_mid/launch.log
r02_t01_lab_lower_left,lab_lower_left,1.422,0.717,1,6.499,0,0.6043,0.4867,0.3478,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t01_lab_lower_left/summary_20260529_170956.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t01_lab_lower_left/launch.log
r02_t02_lab_lower,lab_lower,1.722,0.717,1,6.504,0,0.6145,0.5681,0.0762,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t02_lab_lower/summary_20260529_171011.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t02_lab_lower/launch.log
r02_t03_lab_lower_mid,lab_lower_mid,1.572,0.917,1,5.004,0,0.6690,0.3528,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t03_lab_lower_mid/summary_20260529_171025.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t03_lab_lower_mid/launch.log
r02_t04_lab_mid_left,lab_mid_left,1.522,1.117,1,5.007,0,0.6592,0.2116,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t04_lab_mid_left/summary_20260529_171038.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t04_lab_mid_left/launch.log
r02_t05_lab_mid,lab_mid,1.722,1.317,1,3.999,0,0.5214,0.2786,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t05_lab_mid/summary_20260529_171051.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r02_t05_lab_mid/launch.log
r03_t01_lab_lower_left,lab_lower_left,1.422,0.717,1,39.509,0,0.3213,0.4955,0.8214,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t01_lab_lower_left/summary_20260529_171102.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t01_lab_lower_left/launch.log
r03_t02_lab_lower,lab_lower,1.722,0.717,1,6.007,0,0.5843,0.6041,0.1462,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t02_lab_lower/summary_20260529_171150.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t02_lab_lower/launch.log
r03_t03_lab_lower_mid,lab_lower_mid,1.572,0.917,1,5.001,0,0.6690,0.3528,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t03_lab_lower_mid/summary_20260529_171204.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t03_lab_lower_mid/launch.log
r03_t04_lab_mid_left,lab_mid_left,1.522,1.117,1,4.002,0,0.6858,0.1582,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t04_lab_mid_left/summary_20260529_171216.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t04_lab_mid_left/launch.log
r03_t05_lab_mid,lab_mid,1.722,1.317,1,3.997,0,0.5237,0.2763,0.0000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t05_lab_mid/summary_20260529_171228.csv,metrics/paper_sim_lab_map_trials/20260529_170846/r03_t05_lab_mid/launch.log
