stamp,event,robot,role,x,y,raw
1779964539.465,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964539.4645727, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964539.957,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964539.9566689, ""target"": [1.5, 0.0], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964539.965,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964539.9642725, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964540.465,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964540.4643738, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964540.863,pose,robot1,unknown,-0.0000,-0.0000,
1779964540.864,pose,robot2,unknown,-0.0000,1.0000,
1779964540.897,pose,robot1,unknown,-0.0000,-0.0000,
1779964540.897,pose,robot2,unknown,-0.0000,1.0000,
1779964540.932,pose,robot2,unknown,-0.0000,1.0000,
1779964540.932,pose,robot1,unknown,-0.0000,-0.0000,
1779964540.957,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964540.9564154, ""target"": [1.5, 0.0], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964540.965,role,robot1,leader,-0.0000,-0.0000,leader
1779964540.965,role,robot2,follower,-0.0000,1.0000,follower
1779964540.965,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.5, ""y"": 0.0}, ""role"": ""leader"", ""x"": -3.152042878192204e-31, ""y"": -8.197065044922036e-64}, ""robot2"": {""last_goal"": {""x"": -0.8, ""y"": -1.2568833068880454e-63}, ""role"": ""follower"", ""x"": -3.152043215942179e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964540.964545, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964540.967,pose,robot1,leader,-0.0000,-0.0000,
1779964540.967,pose,robot2,follower,-0.0000,1.0000,
1779964541.002,pose,robot1,leader,0.0087,0.0000,
1779964541.002,pose,robot2,follower,-0.0000,1.0000,
1779964541.037,pose,robot1,leader,0.0175,0.0000,
1779964541.038,pose,robot2,follower,-0.0000,1.0000,
1779964541.073,pose,robot1,leader,0.0262,0.0000,
1779964541.073,pose,robot2,follower,-0.0000,1.0000,
1779964541.108,pose,robot1,leader,0.0350,0.0000,
1779964541.108,pose,robot2,follower,-0.0000,1.0000,
1779964541.143,pose,robot1,leader,0.0437,0.0000,
1779964541.143,pose,robot2,follower,-0.0000,1.0000,
1779964541.177,pose,robot2,follower,-0.0000,1.0000,
1779964541.178,pose,robot1,leader,0.0525,0.0000,
1779964541.212,pose,robot2,follower,-0.0000,1.0000,
1779964541.213,pose,robot1,leader,0.0612,0.0000,
1779964541.247,pose,robot1,leader,0.0700,0.0000,
1779964541.248,pose,robot2,follower,-0.0000,1.0000,
1779964541.283,pose,robot1,leader,0.0787,0.0000,
1779964541.283,pose,robot2,follower,-0.0000,1.0000,
1779964541.317,pose,robot1,leader,0.0875,0.0000,
1779964541.318,pose,robot2,follower,-0.0000,1.0000,
1779964541.353,pose,robot1,leader,0.0962,0.0000,
1779964541.353,pose,robot2,follower,-0.0000,1.0000,
1779964541.388,pose,robot1,leader,0.1050,0.0000,
1779964541.388,pose,robot2,follower,-0.0000,1.0000,
1779964541.423,pose,robot2,follower,-0.0000,1.0000,
1779964541.423,pose,robot1,leader,0.1137,0.0000,
1779964541.458,pose,robot1,leader,0.1225,0.0000,
1779964541.458,pose,robot2,follower,-0.0000,1.0000,
1779964541.465,role,robot1,leader,0.1225,0.0000,leader
1779964541.465,role,robot2,follower,-0.0000,1.0000,follower
1779964541.465,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.5, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.12249999991489845, ""y"": 6.498189762136405e-12}, ""robot2"": {""last_goal"": {""x"": -0.6775000000851016, ""y"": 1.027209307203692e-11}, ""role"": ""follower"", ""x"": -8.419117064595712e-13, ""y"": 0.9999999999989453}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964541.4645524, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964541.493,pose,robot1,leader,0.1312,0.0000,
1779964541.493,pose,robot2,follower,-0.0000,1.0000,
1779964541.528,pose,robot1,leader,0.1400,0.0000,
1779964541.528,pose,robot2,follower,0.0000,1.0000,
1779964541.563,pose,robot1,leader,0.1487,0.0000,
1779964541.563,pose,robot2,follower,-0.0000,1.0000,
1779964541.598,pose,robot1,leader,0.1575,0.0000,
1779964541.598,pose,robot2,follower,-0.0000,1.0000,
1779964541.633,pose,robot1,leader,0.1662,0.0000,
1779964541.633,pose,robot2,follower,-0.0000,1.0000,
1779964541.667,pose,robot2,follower,-0.0000,1.0000,
1779964541.667,pose,robot1,leader,0.1750,0.0000,
1779964541.702,pose,robot2,follower,-0.0000,1.0000,
1779964541.703,pose,robot1,leader,0.1837,0.0000,
1779964541.737,pose,robot2,follower,-0.0000,1.0000,
1779964541.737,pose,robot1,leader,0.1925,0.0000,
1779964541.772,pose,robot2,follower,-0.0000,1.0000,
1779964541.772,pose,robot1,leader,0.2012,0.0000,
1779964541.808,pose,robot2,follower,-0.0000,1.0000,
1779964541.808,pose,robot1,leader,0.2100,0.0000,
1779964541.842,pose,robot1,leader,0.2187,0.0000,
1779964541.843,pose,robot2,follower,-0.0000,1.0000,
1779964541.878,pose,robot2,follower,-0.0000,1.0000,
1779964541.878,pose,robot1,leader,0.2275,0.0000,
1779964541.913,pose,robot1,leader,0.2362,0.0000,
1779964541.913,pose,robot2,follower,-0.0000,1.0000,
1779964541.947,pose,robot1,leader,0.2450,0.0000,
1779964541.947,pose,robot2,follower,-0.0000,1.0000,
1779964541.957,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964541.9564166, ""target"": [1.5, 0.0], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964541.965,role,robot1,leader,0.2450,0.0000,leader
1779964541.965,role,robot2,follower,-0.0000,1.0000,follower
1779964541.965,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.5, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.24499999989693108, ""y"": 1.5594162948782796e-11}, ""robot2"": {""last_goal"": {""x"": -0.5550000001030689, ""y"": 2.5534665226074972e-11}, ""role"": ""follower"", ""x"": -1.6606948598560047e-12, ""y"": 1.0000000000003095}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964541.9645386, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964541.982,pose,robot1,leader,0.2537,0.0000,
1779964541.982,pose,robot2,follower,-0.0000,1.0000,
1779964542.017,pose,robot2,follower,-0.0000,1.0000,
1779964542.018,pose,robot1,leader,0.2625,0.0000,
1779964542.052,pose,robot2,follower,-0.0000,1.0000,
1779964542.053,pose,robot1,leader,0.2712,0.0000,
1779964542.089,pose,robot2,follower,-0.0000,1.0000,
1779964542.089,pose,robot1,leader,0.2800,0.0000,
1779964542.123,pose,robot1,leader,0.2887,0.0000,
1779964542.123,pose,robot2,follower,-0.0000,1.0000,
1779964542.158,pose,robot1,leader,0.2975,0.0000,
1779964542.158,pose,robot2,follower,-0.0000,1.0000,
1779964542.193,pose,robot1,leader,0.3062,0.0000,
1779964542.193,pose,robot2,follower,-0.0000,1.0000,
1779964542.227,pose,robot1,leader,0.3150,0.0000,
1779964542.227,pose,robot2,follower,-0.0000,1.0000,
1779964542.262,pose,robot2,follower,-0.0000,1.0000,
1779964542.263,pose,robot1,leader,0.3237,0.0000,
1779964542.297,pose,robot1,leader,0.3325,0.0000,
1779964542.298,pose,robot2,follower,-0.0000,1.0000,
1779964542.332,pose,robot1,leader,0.3412,0.0000,
1779964542.333,pose,robot2,follower,-0.0000,1.0000,
1779964542.368,pose,robot1,leader,0.3500,0.0000,
1779964542.368,pose,robot2,follower,-0.0000,1.0000,
1779964542.402,pose,robot1,leader,0.3587,0.0000,
1779964542.402,pose,robot2,follower,-0.0000,1.0000,
1779964542.437,pose,robot1,leader,0.3675,0.0000,
1779964542.437,pose,robot2,follower,-0.0000,1.0000,
1779964542.465,role,robot1,leader,0.3675,0.0000,leader
1779964542.465,role,robot2,follower,-0.0000,1.0000,follower
1779964542.465,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.5, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.3674999998790116, ""y"": 2.4621697364082544e-11}, ""robot2"": {""last_goal"": {""x"": -0.43250000012098844, ""y"": 4.201450786223858e-11}, ""role"": ""follower"", ""x"": -1.5900406884260955e-12, ""y"": 0.9999999999934678}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964542.4645035, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964542.472,pose,robot1,leader,0.3762,0.0000,
1779964542.472,pose,robot2,follower,-0.0002,0.9988,
1779964542.507,pose,robot1,leader,0.3850,0.0000,
1779964542.508,pose,robot2,follower,-0.0019,0.9902,
1779964542.542,pose,robot1,leader,0.3937,0.0000,
1779964542.542,pose,robot2,follower,-0.0038,0.9816,
1779964542.577,pose,robot1,leader,0.4025,0.0000,
1779964542.578,pose,robot2,follower,-0.0058,0.9731,
1779964542.613,pose,robot1,leader,0.4112,0.0000,
1779964542.613,pose,robot2,follower,-0.0079,0.9646,
1779964542.647,pose,robot1,leader,0.4200,0.0000,
1779964542.647,pose,robot2,follower,-0.0101,0.9562,
1779964542.682,pose,robot1,leader,0.4287,0.0000,
1779964542.682,pose,robot2,follower,-0.0125,0.9477,
1779964542.717,pose,robot1,leader,0.4375,0.0000,
1779964542.717,pose,robot2,follower,-0.0149,0.9393,
1779964542.752,pose,robot1,leader,0.4462,0.0000,
1779964542.753,pose,robot2,follower,-0.0174,0.9310,
1779964542.788,pose,robot1,leader,0.4550,0.0000,
1779964542.788,pose,robot2,follower,-0.0200,0.9226,
1779964542.822,pose,robot1,leader,0.4637,0.0000,
1779964542.822,pose,robot2,follower,-0.0227,0.9143,
1779964542.857,pose,robot1,leader,0.4725,0.0000,
1779964542.857,pose,robot2,follower,-0.0255,0.9060,
1779964542.892,pose,robot1,leader,0.4812,0.0000,
1779964542.892,pose,robot2,follower,-0.0283,0.8977,
1779964542.927,pose,robot1,leader,0.4900,0.0000,
1779964542.927,pose,robot2,follower,-0.0312,0.8894,
1779964542.957,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964542.9563127, ""target"": [1.5, 0.0], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964542.962,pose,robot2,follower,-0.0341,0.8812,
1779964542.962,pose,robot1,leader,0.4987,0.0000,
1779964542.965,role,robot1,leader,0.4987,0.0000,leader
1779964542.965,role,robot2,follower,-0.0341,0.8812,follower
1779964542.965,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.5, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.49874999985983204, ""y"": 3.3376312017546726e-11}, ""robot2"": {""last_goal"": {""x"": -0.301250000140168, ""y"": 6.00440269841379e-11}, ""role"": ""follower"", ""x"": -0.03409304404116961, ""y"": 0.8811753146982262}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964542.964482, ""target"": {""x"": 1.5, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964542.998,pose,robot1,leader,0.5075,0.0000,
1779964542.998,pose,robot2,follower,-0.0371,0.8729,
1779964543.032,pose,robot1,leader,0.5162,0.0000,
1779964543.033,pose,robot2,follower,-0.0400,0.8647,
1779964543.068,pose,robot1,leader,0.5250,0.0000,
1779964543.068,pose,robot2,follower,-0.0429,0.8564,
