stamp,event,robot,role,x,y,raw
1779964648.094,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964648.0929852, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964648.588,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964648.5872934, ""target"": [1.2, -0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964648.593,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964648.5928347, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964649.093,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964649.0929077, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964649.493,pose,robot1,unknown,-0.0000,-0.0000,
1779964649.493,pose,robot2,unknown,-0.0000,1.0000,
1779964649.527,pose,robot1,unknown,-0.0000,-0.0000,
1779964649.527,pose,robot2,unknown,-0.0000,1.0000,
1779964649.562,pose,robot1,unknown,-0.0000,-0.0000,
1779964649.562,pose,robot2,unknown,-0.0000,1.0000,
1779964649.588,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964649.5871263, ""target"": [1.2, -0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964649.593,role,robot1,leader,-0.0000,-0.0000,leader
1779964649.593,role,robot2,follower,-0.0000,1.0000,follower
1779964649.593,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.2, ""y"": -0.6}, ""role"": ""leader"", ""x"": -3.152042878192204e-31, ""y"": -8.197065044922036e-64}, ""robot2"": {""last_goal"": {""x"": -0.7155417527999327, ""y"": 0.35777087639996635}, ""role"": ""follower"", ""x"": -3.152043215942179e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964649.5930955, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964649.597,pose,robot1,leader,-0.0000,-0.0000,
1779964649.597,pose,robot2,follower,-0.0000,1.0000,
1779964649.632,pose,robot1,leader,-0.0000,-0.0000,
1779964649.632,pose,robot2,follower,-0.0000,1.0000,
1779964649.667,pose,robot1,leader,-0.0000,-0.0000,
1779964649.667,pose,robot2,follower,-0.0000,1.0000,
1779964649.701,pose,robot1,leader,-0.0000,0.0000,
1779964649.702,pose,robot2,follower,-0.0000,1.0000,
1779964649.737,pose,robot1,leader,-0.0000,0.0000,
1779964649.737,pose,robot2,follower,-0.0000,1.0000,
1779964649.772,pose,robot1,leader,-0.0000,0.0000,
1779964649.772,pose,robot2,follower,-0.0000,1.0000,
1779964649.807,pose,robot1,leader,-0.0000,-0.0000,
1779964649.807,pose,robot2,follower,-0.0000,1.0000,
1779964649.842,pose,robot1,leader,-0.0000,-0.0000,
1779964649.842,pose,robot2,follower,-0.0000,1.0000,
1779964649.877,pose,robot1,leader,-0.0000,-0.0000,
1779964649.877,pose,robot2,follower,-0.0000,1.0000,
1779964649.912,pose,robot1,leader,-0.0000,-0.0000,
1779964649.912,pose,robot2,follower,-0.0000,1.0000,
1779964649.947,pose,robot1,leader,-0.0000,-0.0000,
1779964649.947,pose,robot2,follower,-0.0000,1.0000,
1779964649.982,pose,robot1,leader,-0.0000,-0.0000,
1779964649.982,pose,robot2,follower,-0.0000,1.0000,
1779964650.017,pose,robot1,leader,0.0049,-0.0012,
1779964650.017,pose,robot2,follower,-0.0000,1.0000,
1779964650.052,pose,robot1,leader,0.0133,-0.0034,
1779964650.052,pose,robot2,follower,-0.0000,1.0000,
1779964650.087,pose,robot1,leader,0.0218,-0.0057,
1779964650.087,pose,robot2,follower,-0.0000,1.0000,
1779964650.093,role,robot1,leader,0.0218,-0.0057,leader
1779964650.093,role,robot2,follower,-0.0000,1.0000,follower
1779964650.093,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.2, ""y"": -0.6}, ""role"": ""leader"", ""x"": 0.021772432924468777, ""y"": -0.005668561706649033}, ""robot2"": {""last_goal"": {""x"": -0.692499614518391, ""y"": 0.35463053937713823}, ""role"": ""follower"", ""x"": -1.854361943824073e-12, ""y"": 0.9999999999995415}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964650.0929468, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964650.122,pose,robot1,leader,0.0302,-0.0081,
1779964650.122,pose,robot2,follower,-0.0000,1.0000,
1779964650.157,pose,robot1,leader,0.0385,-0.0107,
1779964650.157,pose,robot2,follower,-0.0000,1.0000,
1779964650.191,pose,robot1,leader,0.0469,-0.0134,
