stamp,event,robot,role,x,y,raw
1779964663.738,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964663.7376788, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964664.232,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964664.231569, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964664.238,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964664.2376876, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964664.738,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964664.737623, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964665.136,pose,robot1,unknown,-0.0000,-0.0000,
1779964665.136,pose,robot2,unknown,-0.0000,1.0000,
1779964665.169,pose,robot1,unknown,-0.0000,-0.0000,
1779964665.169,pose,robot2,unknown,-0.0000,1.0000,
1779964665.204,pose,robot1,unknown,-0.0000,-0.0000,
1779964665.205,pose,robot2,unknown,-0.0000,1.0000,
1779964665.232,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964665.2312691, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964665.238,role,robot1,leader,-0.0000,-0.0000,leader
1779964665.238,role,robot2,follower,-0.0000,1.0000,follower
1779964665.238,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": -3.152042878192204e-31, ""y"": -8.197065044922036e-64}, ""robot2"": {""last_goal"": {""x"": -0.7951069877388952, ""y"": -0.08834522085987724}, ""role"": ""follower"", ""x"": -3.152043215942179e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964665.2376783, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964665.239,pose,robot1,leader,-0.0000,-0.0000,
1779964665.239,pose,robot2,follower,-0.0000,1.0000,
1779964665.274,pose,robot1,leader,-0.0000,-0.0000,
1779964665.274,pose,robot2,follower,-0.0000,1.0000,
1779964665.310,pose,robot1,leader,-0.0000,-0.0000,
1779964665.310,pose,robot2,follower,-0.0000,1.0000,
1779964665.344,pose,robot1,leader,0.0012,0.0000,
1779964665.345,pose,robot2,follower,-0.0000,1.0000,
1779964665.380,pose,robot1,leader,0.0100,0.0000,
1779964665.380,pose,robot2,follower,-0.0000,1.0000,
1779964665.415,pose,robot1,leader,0.0187,0.0002,
1779964665.415,pose,robot2,follower,-0.0000,1.0000,
1779964665.450,pose,robot1,leader,0.0275,0.0003,
1779964665.450,pose,robot2,follower,-0.0000,1.0000,
1779964665.484,pose,robot1,leader,0.0362,0.0006,
1779964665.484,pose,robot2,follower,-0.0000,1.0000,
1779964665.520,pose,robot1,leader,0.0450,0.0009,
1779964665.520,pose,robot2,follower,-0.0000,1.0000,
1779964665.555,pose,robot1,leader,0.0537,0.0012,
1779964665.555,pose,robot2,follower,-0.0000,1.0000,
1779964665.589,pose,robot1,leader,0.0625,0.0016,
1779964665.590,pose,robot2,follower,-0.0000,1.0000,
