trial_id,target_name,target_x,target_y,success,duration_s,role_switches,min_separation_m,robot1_path_m,robot2_path_m,requirement_refs,summary_path,launch_log
r01_t01_forward_near,forward_near,0.900,0.000,1,5.502,0,1.0000,0.7680,0.4662,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r01_t01_forward_near/summary_20260528_173408.csv,metrics/paper_sim_trials/20260528_173405/r01_t01_forward_near/launch.log
r01_t02_forward_mid,forward_mid,1.500,0.000,1,7.504,0,1.0000,1.3334,0.8975,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r01_t02_forward_mid/summary_20260528_173421.csv,metrics/paper_sim_trials/20260528_173405/r01_t02_forward_mid/launch.log
r01_t03_upper_diag,upper_diag,1.200,0.600,1,7.503,0,0.7650,1.2161,0.8200,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r01_t03_upper_diag/summary_20260528_173437.csv,metrics/paper_sim_trials/20260528_173405/r01_t03_upper_diag/launch.log
r01_t04_lower_diag,lower_diag,1.200,-0.600,1,7.503,0,1.0000,1.2063,0.8987,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r01_t04_lower_diag/summary_20260528_173453.csv,metrics/paper_sim_trials/20260528_173405/r01_t04_lower_diag/launch.log
r01_t05_forward_far,forward_far,1.800,0.200,1,9.006,0,0.9781,1.6656,1.2250,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r01_t05_forward_far/summary_20260528_173508.csv,metrics/paper_sim_trials/20260528_173405/r01_t05_forward_far/launch.log
r02_t01_forward_near,forward_near,0.900,0.000,1,5.504,0,1.0000,0.7815,0.4900,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r02_t01_forward_near/summary_20260528_173525.csv,metrics/paper_sim_trials/20260528_173405/r02_t01_forward_near/launch.log
r02_t02_forward_mid,forward_mid,1.500,0.000,1,7.503,0,1.0000,1.3337,0.9000,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r02_t02_forward_mid/summary_20260528_173538.csv,metrics/paper_sim_trials/20260528_173405/r02_t02_forward_mid/launch.log
r02_t03_upper_diag,upper_diag,1.200,0.600,1,7.503,0,0.7650,1.2167,0.8225,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r02_t03_upper_diag/summary_20260528_173554.csv,metrics/paper_sim_trials/20260528_173405/r02_t03_upper_diag/launch.log
r02_t04_lower_diag,lower_diag,1.200,-0.600,1,7.503,0,1.0000,1.2059,0.8987,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r02_t04_lower_diag/summary_20260528_173610.csv,metrics/paper_sim_trials/20260528_173405/r02_t04_lower_diag/launch.log
r02_t05_forward_far,forward_far,1.800,0.200,1,9.006,0,0.9804,1.6659,1.2237,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r02_t05_forward_far/summary_20260528_173625.csv,metrics/paper_sim_trials/20260528_173405/r02_t05_forward_far/launch.log
r03_t01_forward_near,forward_near,0.900,0.000,1,5.504,0,1.0000,0.7710,0.4737,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r03_t01_forward_near/summary_20260528_173642.csv,metrics/paper_sim_trials/20260528_173405/r03_t01_forward_near/launch.log
r03_t02_forward_mid,forward_mid,1.500,0.000,1,7.504,0,1.0000,1.3337,0.8487,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r03_t02_forward_mid/summary_20260528_173656.csv,metrics/paper_sim_trials/20260528_173405/r03_t02_forward_mid/launch.log
r03_t03_upper_diag,upper_diag,1.200,0.600,1,7.506,0,0.7673,1.2058,0.7975,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r03_t03_upper_diag/summary_20260528_173711.csv,metrics/paper_sim_trials/20260528_173405/r03_t03_upper_diag/launch.log
r03_t04_lower_diag,lower_diag,1.200,-0.600,1,7.504,0,1.0000,1.2017,0.8900,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r03_t04_lower_diag/summary_20260528_173727.csv,metrics/paper_sim_trials/20260528_173405/r03_t04_lower_diag/launch.log
r03_t05_forward_far,forward_far,1.800,0.200,1,9.003,0,0.9786,1.6616,1.2162,REQ-001;REQ-003;REQ-004;REQ-005;REQ-006,metrics/paper_sim_trials/20260528_173405/r03_t05_forward_far/summary_20260528_173743.csv,metrics/paper_sim_trials/20260528_173405/r03_t05_forward_far/launch.log
